Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05437634709754471,0.06237294086298487,0.05437634709754471,0.059707000851631165,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.05970701671908022,0.06290602295599505,0.05970701671908022,0.061839278787374496,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.061839297254193015,0.06343910741763197,0.061839297254193015,0.06290604174137115,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06290600646248053,0.06343907183978809,0.060773131818937634,0.061306197196245193,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.061306232436667205,0.06183929812039483,0.05970703538548434,0.06024010106921196,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.06024006735310489,0.06024006735310489,0.058107805811612026,0.058640871196985245,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.058640893981592036,0.059707025166578054,0.05597556601912699,0.05704169720411301,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05704166698751594,0.05704166698751594,0.05490940574706347,0.05544247105717659,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.05544250300487099,0.056508634239435196,0.05490943738758888,0.056508634239435196,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.0565086083868015,0.058640869880422344,0.05597554301339629,0.058107804507017136,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05810782172539066,0.05917395278811454,0.05810782172539066,0.05917395278811455,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.059173936582358456,0.059173936582358456,0.057574740426238814,0.058640871196985245,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.058640869880422344,0.058640869880422344,0.058107804507017136,0.058107804507017136,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.058107805811612026,0.059707001967731675,0.058107805811612026,0.058640871196985245,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05917395278811454,0.06077314938220037,0.05917395278811454,0.05917395278811455,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05917395278811454,0.05970701831947649,0.05917395278811454,0.05917395278811455,26582400,0.0,0.0
